m,q,branch,base_density,one_extra_gain,two_extra_gain,expected_two_extra_gain,formula_error,excess_over_twice_one_gain,positive_extra_count,extra_0_length,extra_1_length,extra_length_bound,success,status_name,mip_gap,mip_node_count,solution
25,7,larger,0.13481481481481483,5.92592592592589e-05,0.00011851851851890638,0.00011851851851851852,3.8785977467953314e-16,3.885780586188048e-16,2,5.925925925964748e-05,5.925925925925668e-05,,True,optimal,0.0,3197,variable_extra_milp_m25_q7_anchor0_freebase0_extra2_solution.json
26,7,larger,0.13461538461538464,1.1102230246251565e-15,0.0,0.0,0.0,-2.220446049250313e-15,0,0.0,0.0,,True,optimal,0.0,3337,variable_extra_milp_m26_q7_anchor0_freebase0_extra2_solution.json
27,7,larger,0.13409961685823754,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,True,optimal,0.0,498,variable_extra_milp_m27_q7_anchor0_freebase0_extra2_solution.json
28,7,smaller,0.13333333333333336,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,optimal,0.0,1,variable_extra_milp_m28_q7_anchor0_freebase0_extra2_solution.json
28,8,larger,0.13333333333333333,8.50340136054617e-05,0.00017006802722474568,0.00017006802721088434,1.386133503984699e-14,1.3822276656583199e-14,2,8.503401360544163e-05,8.503401361930233e-05,,True,optimal,0.0,7416,variable_extra_milp_m28_q8_anchor0_freebase0_extra2_solution.json
29,8,larger,0.13348164627363737,3.8356794906352354e-05,7.671358981459209e-05,7.671358981243527e-05,2.15681693425257e-15,1.887379141862766e-15,2,3.8356794908450265e-05,3.835679490615519e-05,,True,optimal,0.0,6557,variable_extra_milp_m29_q8_anchor0_freebase0_extra2_solution.json
30,8,larger,0.13333333333333333,0.0,5.076494780098528e-14,0.0,5.076494780098528e-14,5.076494780098528e-14,0,0.0,5.0776473771608804e-14,,True,optimal,0.0,6560,variable_extra_milp_m30_q8_anchor0_freebase0_extra2_solution.json
31,8,larger,0.13294232649071358,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,True,optimal,0.0,860,variable_extra_milp_m31_q8_anchor0_freebase0_extra2_solution.json
32,8,smaller,0.1323529411764706,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,optimal,0.0,1,variable_extra_milp_m32_q8_anchor0_freebase0_extra2_solution.json
32,9,larger,0.1323529411764706,5.7444852941263e-05,0.00011488971238757251,0.00011488970588235294,6.505219567231116e-12,6.505046501459333e-12,2,5.744485944639624e-05,5.7444852941179736e-05,,True,optimal,0.0,15933,variable_extra_milp_m32_q9_anchor0_freebase0_extra2_solution.json
33,9,larger,0.13246753246753248,2.623638987284127e-05,5.247278027134539e-05,5.2472779745507015e-05,5.258383721398578e-13,5.25662846584396e-13,2,2.6236390398650464e-05,2.6236389872714266e-05,,True,optimal,0.0,12896,variable_extra_milp_m33_q9_anchor0_freebase0_extra2_solution.json
34,9,larger,0.1323529411764706,0.0,3.8172243144174445e-13,0.0,3.8172243144174445e-13,3.8172243144174445e-13,0,3.817323235657096e-13,-0.0,,True,optimal,0.0,18030,variable_extra_milp_m34_q9_anchor0_freebase0_extra2_solution.json
35,9,larger,0.13204633204633204,0.0,5.6066262743570405e-15,0.0,5.6066262743570405e-15,5.6066262743570405e-15,0,-0.0,5.590828984949632e-15,,True,optimal,0.0,1235,variable_extra_milp_m35_q9_anchor0_freebase0_extra2_solution.json
36,9,smaller,0.13157894736842105,1.8795548450967203e-11,0.0,0.0,0.0,-3.7591096901934407e-11,0,0.0,0.0,0.0,True,optimal,0.0,1,variable_extra_milp_m36_q9_anchor0_freebase0_extra2_solution.json
36,10,larger,0.13157894736842105,4.0610786224859474e-05,8.122158439988203e-05,8.122157244964262e-05,1.1950239409141972e-11,1.1950163081309029e-11,2,4.0610786224816296e-05,4.0610798175065734e-05,,True,optimal,0.0,45914,variable_extra_milp_m36_q10_anchor0_freebase0_extra2_solution.json
37,10,larger,0.13167013167013167,1.8729748459705986e-05,3.7459500419279035e-05,3.745949691895638e-05,3.500322658133749e-12,3.4998670628283435e-12,2,1.8729748459469688e-05,1.8729751959793172e-05,,True,optimal,0.0,25333,variable_extra_milp_m37_q10_anchor0_freebase0_extra2_solution.json
38,10,larger,0.13157894736842105,0.0,2.614103378206778e-12,0.0,2.614103378206778e-12,2.614103378206778e-12,0,2.614110682305624e-12,0.0,,True,optimal,0.0,30714,variable_extra_milp_m38_q10_anchor0_freebase0_extra2_solution.json
39,10,larger,0.13133208255159476,0.0,5.551115123125783e-16,0.0,5.551115123125783e-16,5.551115123125783e-16,0,-0.0,5.528877056836492e-16,,True,optimal,0.0,1309,variable_extra_milp_m39_q10_anchor0_freebase0_extra2_solution.json
40,10,smaller,0.13095238095238096,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,optimal,0.0,1,variable_extra_milp_m40_q10_anchor0_freebase0_extra2_solution.json
40,11,larger,0.13095238095238093,2.9761904763780933e-05,5.952380956572578e-05,5.9523809523809524e-05,4.191625887529915e-14,3.8163916471489756e-14,2,2.9761904761599844e-05,2.9761904804104994e-05,,True,optimal,0.0,34655,variable_extra_milp_m40_q11_anchor0_freebase0_extra2_solution.json
41,11,larger,0.13102665910380035,1.3834511572607955e-05,2.7669029745824858e-05,2.766902314513786e-05,6.600686997307835e-12,6.600608948303943e-12,2,1.3834518173272414e-05,1.3834511572568691e-05,,True,optimal,0.0,46337,variable_extra_milp_m41_q11_anchor0_freebase0_extra2_solution.json
42,11,larger,0.13095238095238093,0.0,1.3547440946837241e-11,0.0,1.3547440946837241e-11,1.3547440946837241e-11,0,1.3547430538496386e-11,-0.0,,True,optimal,0.0,41322,variable_extra_milp_m42_q11_anchor0_freebase0_extra2_solution.json
43,11,larger,0.13074935400516796,0.0,1.731778609403989e-11,0.0,1.731778609403989e-11,1.731778609403989e-11,0,1.7317783110727154e-11,-0.0,,True,optimal,0.0,2065,variable_extra_milp_m43_q11_anchor0_freebase0_extra2_solution.json
44,11,smaller,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,optimal,0.0,1,variable_extra_milp_m44_q11_anchor0_freebase0_extra2_solution.json
44,12,larger,0.13043478260869565,2.2457779374818188e-05,4.491555874955311e-05,4.4915558749550845e-05,2.2632720350634905e-18,-8.326672684688674e-17,2,2.2457779374775423e-05,2.2457779374775423e-05,2.2457779374775423e-05,True,optimal,0.0,110,variable_extra_milp_m44_q12_anchor0_freebase0_extra2_solution.json
45,12,larger,0.13049645390070921,1.0506960864548054e-05,2.1013921723156415e-05,2.101392172314158e-05,1.4833240972317308e-17,-5.9396931817445875e-15,2,1.050696086157079e-05,1.050696086157079e-05,1.050696086157079e-05,True,optimal,0.0,335,variable_extra_milp_m45_q12_anchor0_freebase0_extra2_solution.json
46,12,larger,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,optimal,0.0,1,variable_extra_milp_m46_q12_anchor0_freebase0_extra2_solution.json
47,12,larger,0.13026487190620928,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,optimal,0.0,1,variable_extra_milp_m47_q12_anchor0_freebase0_extra2_solution.json
48,12,smaller,0.13,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,optimal,0.0,1,variable_extra_milp_m48_q12_anchor0_freebase0_extra2_solution.json
48,13,larger,0.13,1.736111111128036e-05,3.472222222222765e-05,3.472222222222222e-05,5.4277871260055566e-18,-3.3306690738754696e-16,2,1.736111111111111e-05,1.736111111111111e-05,1.736111111111111e-05,True,optimal,0.0,489,variable_extra_milp_m48_q13_anchor0_freebase0_extra2_solution.json
49,13,larger,0.13005202080832334,8.16653191895722e-06,1.6333063837775663e-05,1.633306383778001e-05,-4.346973085309069e-18,-1.3877787807814457e-16,2,8.166531918890005e-06,8.166531918890005e-06,8.166531918890005e-06,True,optimal,0.0,178,variable_extra_milp_m49_q13_anchor0_freebase0_extra2_solution.json
50,13,larger,0.13,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,optimal,0.0,1,variable_extra_milp_m50_q13_anchor0_freebase0_extra2_solution.json
51,13,larger,0.12985571587125416,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,optimal,0.0,1,variable_extra_milp_m51_q13_anchor0_freebase0_extra2_solution.json
52,13,smaller,0.12962962962962962,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,optimal,0.0,1,variable_extra_milp_m52_q13_anchor0_freebase0_extra2_solution.json
52,14,larger,0.12962962962962962,1.3697129081780002e-05,2.7394258163476737e-05,2.7394258163488934e-05,-1.2197274440461925e-17,-8.326672684688674e-17,2,1.3697129081744467e-05,1.3697129081744467e-05,1.3697129081744467e-05,True,optimal,0.0,887,variable_extra_milp_m52_q14_anchor0_freebase0_extra2_solution.json
53,14,larger,0.12967409948542025,6.472701381959878e-06,1.2945402763836489e-05,1.294540276384349e-05,-7.001574342004047e-18,-8.326672684688674e-17,2,6.472701381921745e-06,6.472701381921745e-06,6.472701381921745e-06,True,optimal,0.0,61,variable_extra_milp_m53_q14_anchor0_freebase0_extra2_solution.json
54,14,larger,0.12962962962962962,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,optimal,0.0,1,variable_extra_milp_m54_q14_anchor0_freebase0_extra2_solution.json
55,14,larger,0.12950558213716107,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,optimal,0.0,1,variable_extra_milp_m55_q14_anchor0_freebase0_extra2_solution.json
56,14,smaller,0.12931034482758622,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,optimal,0.0,1,variable_extra_milp_m56_q14_anchor0_freebase0_extra2_solution.json
56,15,larger,0.12931034482758622,1.0995777621453096e-05,2.1991555242767413e-05,2.199155524278677e-05,-1.935639691065527e-17,-1.3877787807814457e-16,2,1.0995777621393385e-05,1.0995777621393385e-05,1.0995777621393385e-05,True,optimal,0.0,679,variable_extra_milp_m56_q15_anchor0_freebase0_extra2_solution.json
57,15,larger,0.12934879571810884,5.216729006607412e-06,1.0433458013159314e-05,1.0433458013156591e-05,2.7223638924753213e-18,-5.551115123125783e-17,2,5.216729006578296e-06,5.216729006578296e-06,5.216729006578296e-06,True,optimal,0.0,1772,variable_extra_milp_m57_q15_anchor0_freebase0_extra2_solution.json
58,15,larger,0.12931034482758622,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,optimal,0.0,1,variable_extra_milp_m58_q15_anchor0_freebase0_extra2_solution.json
59,15,larger,0.12920255626562935,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,optimal,0.0,1,variable_extra_milp_m59_q15_anchor0_freebase0_extra2_solution.json
60,15,smaller,0.12903225806451613,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,optimal,0.0,1,variable_extra_milp_m60_q15_anchor0_freebase0_extra2_solution.json
60,16,larger,0.12903225806451613,8.960573478905554e-06,1.792114695339797e-05,1.7921146953405018e-05,-7.047314121155779e-18,-4.413136522884997e-15,2,8.960573476702509e-06,8.960573476702509e-06,8.960573476702509e-06,True,optimal,0.0,614,variable_extra_milp_m60_q16_anchor0_freebase0_extra2_solution.json
61,16,larger,0.12906583398386678,4.265793032420806e-06,8.531586064508545e-06,8.531586064507322e-06,1.2231155758352097e-18,-3.3306690738754696e-16,2,4.265793032253661e-06,4.265793032253661e-06,4.265793032253661e-06,True,optimal,0.0,685,variable_extra_milp_m61_q16_anchor0_freebase0_extra2_solution.json
62,16,larger,0.12903225806451613,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,optimal,0.0,1,variable_extra_milp_m62_q16_anchor0_freebase0_extra2_solution.json
63,16,larger,0.12893772893772895,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,optimal,0.0,1,variable_extra_milp_m63_q16_anchor0_freebase0_extra2_solution.json
64,16,smaller,0.12878787878787878,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,optimal,0.0,1,variable_extra_milp_m64_q16_anchor0_freebase0_extra2_solution.json
64,17,larger,0.12878787878787878,7.398200757652296e-06,1.4796401515165813e-05,1.4796401515151516e-05,1.429791614965259e-17,-1.3877787807814457e-16,2,7.398200757575758e-06,7.398200757575758e-06,7.398200757575758e-06,True,optimal,0.0,198,variable_extra_milp_m64_q17_anchor0_freebase0_extra2_solution.json
